Created: Wed Apr 15 21:21:10 2020
Ion1D version: 1.7
SOURCE MODEL                R                 alpha             beta              mu                omega             phia              tau               z1                z2                
033    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    1.60000000e+01    1.00000000e+00    1.00000000e-02    2.10000000e-01    
034    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    1.80000000e+01    1.00000000e+00    1.00000000e-02    2.10000000e-01    
035    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    2.00000000e+01    1.00000000e+00    1.00000000e-02    2.10000000e-01    
036    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    2.20000000e+01    1.00000000e+00    1.00000000e-02    2.10000000e-01    
037    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    2.40000000e+01    1.00000000e+00    1.00000000e-02    2.10000000e-01    
038    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    2.60000000e+01    1.00000000e+00    1.00000000e-02    2.10000000e-01    
039    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    2.80000000e+01    1.00000000e+00    1.00000000e-02    2.10000000e-01    
040    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    3.00000000e+01    1.00000000e+00    1.00000000e-02    2.10000000e-01    
041    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    3.20000000e+01    1.00000000e+00    1.00000000e-02    2.10000000e-01    
042    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    3.40000000e+01    1.00000000e+00    1.00000000e-02    2.10000000e-01    
043    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    3.60000000e+01    1.00000000e+00    1.00000000e-02    2.10000000e-01    
044    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    3.80000000e+01    1.00000000e+00    1.00000000e-02    2.10000000e-01    
